7:29,224,1023,331,899,70405,302,2734,21911,2108£¬
288:17,616,787,354,1102,15,409,1822,1196,103,
290:866,10970,11522,1245,22889,2935,31550,3389,8191,899,
291:15989,18578,17,302,654,76,616,58,8,866,
292:654,483,13448,1119,1937,1927,6727,289,273,2668,
294:17,76,138,301,226,736,322,238,224,1102,
328:17,302,654,76,616,58,8,866,84,29,
331:101,1444,17,289,616,55527,8109,17,302,654,
345:1754,77581,805,385,100590,16881,28511,3250,83173,92129,
361:354,29,8,4996,138,1462,675,970,76,65625,
376:395,17,3,302,58995,6284,8075,88719,17682,2868,
384:616,542,211,302,17,122,787,402,654,8,
401:354,616,58,65,1102,285,866,29,899,301,
402:301,239,101,654,302,10859,43133,285,26645,1690,
410:4755,1335,4568,39193,226,6706,69659,2880,1991,297,
448:302,1276,1023,29,70146,1804,409,4374,58,27738,
449:8,81,42503,4257,427,4292,42951,42979,431,43493,
450:302,15,1403,1511,642,1344,94,1509,654,483,
452:112343,15808,17100,36183,50599,56536,7264,74916,86436,2534,
476:9061,20401,91432,82839,78603,7556,70,68244,62415,59032,
488:508,76,17,2302,61,518,616,1254,1196,86,
490:17,101,302,32,15,554,62,61,138,354,
494:616,654,273,58,1832,236,859,4032,239,7075,
500:17,302,654,76,616,58,8,866,84,29,
514:5398,88688,361,5693,65060,76,1069,364,38758,50724,
525:1187,1749,22597,70,875,2292,48076,6202,6491,8283,
535:1102,17,29,70,542,8,301,6,354,138,
536:962,1348,146,224,285,736,84,1653,269,3751,
538:101,1102,5998,302,289,9904,7587,748,6830,650,
539:2014,25879,155,47795,285,13486,1245,105888,39732,591,
564:76,1462,289,224,899,94,4174,363,2831,1444,
582:29,1102,354,73,182,1245,93171,32719,3476,9203,
585:29340,226,105161,115815,76923,1703,44829,5117,2200,46483,
590:654,6,1762,1937,65625,736,7282,70,3751,780,
601:105155,118676,121234,121660,18245,226,27912,31717,48912,67228,
618:17,302,654,76,616,58,8,866,84,29,
624:13763,49490,565,94631,17,302,654,76,616,58,
627:11539,83175,32661,7088,1077,4671,311,5512,780,19731,
628:39233,6526,608,21488,65861,75280,84119,51714,518,51892,
632:1276,42713,59361,17,302,654,76,616,58,8,
633:518,40053,24631,190,591,225,1884,1603,1550,13302,
634:17,302,654,76,616,58,8,866,84,29,
646:1995,2638,546,1155,786,20467,20322,709,70,31631,
666:36835,54276,54535,55622,56174,56222,56672,57807,58586,59109,
667:301,17,302,654,76,616,58,8,866,84,
669:103327,94180,2337,98042,77369,16439,2614,29019,42575,46525,
678:1305,3231,650,1499,17,289,302,17,302,654,
680:6,654,17,5729,20090,30,244,2657,285,2868,
681:245,13016,4268,3086,11928,764,4513,28441,50902,29282,
682:7711,9531,6755,731,7925,9783,21031,29962,24843,18240,
683:669,45128,97127,226,112536,866,69187,71448,27552,62266,
684:29161,10493,69720,11470,11984,22890,2869,9935,87528,86509,
715:4671,1753,59850,1547,101827,81,6394,61368,36991,21966,
716:1102,117515,17480,84,17,302,654,76,616,58,
741:7711,168,8860,55392,5235,574,5953,3592,25473,22841,
750:564,15,32,61,236,138,301,1614,205,787,
754:58,616,302,2765,15201,81,2609,654,394,1359,
756:616,966,28778,395,70,73635,837,301,3223,564,
757:1196,861,84976,698,616,45,4326,3599,35190,3223,
758:236,10849,19354,70858,15,46128,1245,14151,5553,5286,
763:239,224,736,17,27456,32,892,966,262,9354,
773:23756,43951,43971,17,302,654,76,616,58,8,
774:1196,302,32,1511,61,6,554,698,17,518,
775:866,518,1102,736,138,15,902,2200,354,301,
782:26744,7145,100244,60350,931,111491,1164,500,18670,26720,
784:302,17,518,999,542,84,787,101,94,9572,
793:16241,11396,14193,13203,27447,1734,109031,17030,42335,728,
803:17,10256,1594,736,6450,4420,15242,5581,5268,521,
813:616,518,654,650,17,84,564,510,736,302,
815:13544,28402,381,42137,119,76,55647,9761,9575,953,
817:866,1362,289,650,361,19886,29,301,899,72278,
818:984,7711,7994,15624,76,5953,34589,2460,2642,23569,
823:8675,85090,82284,73405,57607,565,48511,46153,2686,2275,
825:654,94,518,6450,6923,70,1102,109,363,1382,
833:302,8,6,861,564,999,1403,3223,508,1196,
835:70,262,26951,2168,18391,356,518,59927,118454,807,
838:8066,17077,65469,59116,9412,84808,81892,6344,59120,59054,
844:354,29,1462,736,58,899,16044,70,675,5605,
850:17,302,654,76,616,58,8,866,84,29,
856:4904,1960,1140,1213,10181,999,1614,1822,5182,546,
857:302,650,73635,70,6,9636,62,430,39894,289,
874:1065,518,787,1382,119,5699,2980,710,3142,1412,
891:17,302,654,76,616,58,8,866,84,29,
899:1072,1340,1410,1744,1875,26848,42017,698,81,22,
900:95289,885,8209,7056,6289,4719,4699,4126,398,347,
911:43400,26131,58041,7067,68928,4880,4586,4481,43222,4320,
918:117,2064,44321,1164,118991,140,1888,6916,698,826,
925:1136,13901,14328,2361,239,29,302,6,2618,39222,
926:302,76,58,354,866,2030,146,6,787,84,
937:70,875,302,6352,1756,2265,23591,82046,398,40517,
949:17,302,654,76,616,58,8,866,84,29,
964:2403,3207,970,10046,5108,947,4421,35110,26848,80643,
970:14636,2656,83571,50946,5010,9093,75359,60987,84198,84,
977:17,1550,650,518,736,754,642,394,29,301,
981:17,302,654,76,616,58,8,866,84,29,
982:17,2162,6103,106498,84,16442,378,48889,875,70,
984:14521,11369,75316,245,57642,1276,18543,45615,92295,68818,
992:8588,5860,3939,3137,28926,16286,8009,13288,5812,55772,
993:84,354,89048,947,29,654,17,302,654,76,
998:986,2241,1437,67482,616,2205,301,60405,9590,1348,
1000:58,1102,17,84,29,518,94,101,8,3,
1007:17,654,138,3234,84,2765,224,1866,2626,2311,
1027:168,9874,18804,16128,10267,8252,12734,698,9417,760,
1028:302,17,518,564,650,29,6599,1902,470,12684,
1044:17,302,654,76,616,58,8,866,84,29,
1045:58,542,17,518,1102,1382,119,2369,1086,84,
1049:17,302,654,76,616,58,8,866,84,29,
1068:100110,102444,39925,17,302,654,76,616,58,8,
1069:654,138,101,239,1140,114,76,301,8,787,
1070:873,2469,486,17,32,2542,58,518,892,93265,
1082:84,1102,518,301,62,3223,101,1424,285,94,
1083:30459,32,3278,3297,3304,3313,3582,363,3888,394,
1088:2597,29825,31515,33777,3642,3824,39505,546,55185,58571,
1094:29,301,736,616,58,899,358,224,1196,2733,
1116:224,273,302,64734,2946,371,441,710,17,302,
1121:17,1578,99297,654,70332,736,1372,205,7725,20884,
1125:138,302,84,363,999,542,654,119,813,358,
1127:8,45419,302,2193,3137,2937,43592,6,2148,748,
1132:17,302,654,76,616,58,8,866,84,29,
1133:354,119,8,301,76,736,899,2200,4421,48,
1140:616,58,167,29,3539,508,15,302,1822,182,
1141:17,302,654,76,616,58,8,866,84,29,
1148:121644,48327,6337,99417,99113,89979,77606,72343,71197,61787,
1153:17,1102,354,866,518,947,93554,89048,69320,65607,
1163:17,302,654,76,616,58,8,866,84,29,
1166:518,500,84,1535,42352,17,1631,62026,15354,64437,
1172:1287,81,1109,13396,3137,510,944,7556,616,3610,
1192:17,58,1102,2326,2233,101,76,8,322,6,
1204:3703,470,58,616,121896,25826,3005,327,3313,358,
1208:1313,273,72204,9793,17,302,654,76,616,58,
1209:115154,22203,17,302,654,76,616,58,8,866,
1234:2888,574,661,1400,719,2642,5738,16188,5557,984,
1236:17,302,654,76,616,58,8,866,84,29,
1245:120885,2815,42040,47802,1187,84,17,302,654,76,
1263:17,70,302,58,2626,650,861,736,394,62,
1267:13293,114483,1204,41831,3297,1200,16926,20624,52283,32659,
1269:3107,4755,7831,2880,5624,1352,1712,6434,7457,24581,
1288:1017,67016,398,692,138,8213,73561,122173,114791,94291,
1295:301,62,866,675,10141,224,70,61,486,1239,
1296:17,654,591,542,650,24991,1568,1277,8,736,
1302:17,616,302,285,101,1822,8,62,861,1866,
1305:17,62263,34511,1196,322,61,591,542,5711,58,
1342:17,302,654,76,616,58,8,866,84,29,
1382:3292,330,375,3972,40,423,4604,4907,52840,64625,
1389:56417,75115,61636,518,33995,36171,95032,85140,238,40853,
1391:26376,104871,121315,26434,3334,38549,66418,89015,17,302,
1397:140,24053,6733,986,1381,3939,43015,500,6921,698,
1402:302,17,302,654,76,616,58,8,866,84,
1405:4697,24722,92558,96890,17,302,654,76,616,58,
1407:302,17,58,285,2770,1245,9232,899,542,766,
1408:17,302,654,76,616,58,8,866,84,29,
1409:354,138,65,358,899,616,8,2162,70,3517,
1412:14407,1693,61969,23060,31996,8384,17,302,654,76,
1413:736,289,394,285,508,327,65,726,116,236,
1418:654,902,289,94,138,76,866,947,363,650,
1419:1712,23191,4755,12990,7880,4825,6434,3172,7831,8225,
1420:302,654,354,29,1187,1023,13625,6,27499,1265,
1427:564,15,999,554,17,61,226,301,363,859,
1430:24893,8,6249,36264,75908,84,273,2326,73324,66638,
1431:117982,285,4374,596,5991,17,302,654,76,616,
1435:1535,302,1086,61,138,999,289,364,1348,1475,
1437:106451,564,17,302,654,76,616,58,8,866,
1441:6559,111336,80319,25679,52711,95475,17956,23529,67843,77710,
1447:5567,9580,26062,1198,3233,38437,375,3730,372,3521,
1448:17,302,654,76,616,58,8,866,84,29,
1457:38376,4013,5809,581,1496,16894,45997,59568,62359,63218,
1458:2200,165,1786,15,1344,8066,579,3142,1002,13947,
1469:76,302,58,616,301,84,736,1403,1344,30816,
1477:518,17,4604,571,302,1622,5928,5791,3651,76,
1486:1913,2265,5357,56123,719,76,17,302,654,76,
1490:37342,76,866,17,302,654,76,616,58,8,
1491:650,302,736,654,2687,58,5715,13513,34383,363,
1500:84,58,302,518,354,1332,65,364,220,787,
1503:654,354,866,1140,58,736,521,66010,2514,361,
1517:95964,95331,80218,27097,111233,47522,46908,46903,46341,46207,
1518:3704,37579,39096,41288,4300,4613,5162,59816,6157,678,
1535:236,302,58,3711,138,190,182,70,542,1444,
1551:616,354,736,650,81,1001,4174,3,726,1239,
1552:29723,19245,54372,9095,10906,15294,13992,89980,110189,17,
1553:17,302,654,76,616,58,8,866,84,29,
1559:302,361,6,500,654,94774,29,322,3432,690,
1560:103,518,5699,230,5117,2200,61,9572,1511,94,
1561:211,542,17,409,787,58,1509,15,1511,61,
1562:654,650,29,8,1102,289,224,518,736,508,
1569:986,226,2967,3756,5254,61052,61672,140,1888,2379,
1570:22885,27705,101991,10900,97302,17,302,654,76,616,
1588:53,1119,1187,84,50311,155,48,46420,80185,899,
1589:42489,899,322,86063,116,1277,61,654,32034,3304,
1591:62108,69776,17,302,654,76,616,58,8,866,
1601:9019,899,2311,224,74087,736,6590,61040,14944,1449,
1602:774,1764,3521,1987,1956,8928,1065,1744,68957,34772,
1629:90704,43685,986,925,902,81,8,6545,57656,546,
1634:8066,9095,9662,17,302,654,76,616,58,8,
1642:239,8,654,1567,2064,74233,2338,56061,726,701,
1653:17,13458,18578,1871,2254,358,654,17,302,654,
1654:302,29,138,84,224,866,70,62,1109,650,
1655:8,654,138,736,76,650,15583,11459,15,508,
1668:29,616,866,3323,3522,363,36332,36544,4249,48614,
1681:17,162,22081,29,431,6281,6403,7956,84,866,
1703:1594,4299,736,70,4420,6450,11720,18638,2030,829,
1721:34700,119968,42441,96,60527,15334,6496,5117,2526,9154,
1727:5315,654,633,616,6130,6,58230,58,564,542,
1728:302,58,13513,1539,363,736,17,302,654,76,
1745:1312,1382,12441,46554,17,302,654,76,616,58,
1746:22689,301,431,4621,6496,17,302,654,76,616,
1751:206,8,84,32771,24428,40315,25026,1508,101,119,
1756:1733,8,2076,3250,245,4919,7535,303,675,8213,
1758:10163,43092,11549,29848,363,84976,15,394,17,302,
1761:25716,70173,66480,34319,19433,119401,101433,10904,103292,94836,
1767:34537,58,17,302,654,76,616,58,8,866,
1779:103533,1674,17395,37843,56748,65741,67185,8635,86913,93097,
1780:13960,88524,1772,102096,1675,49329,9354,3041,64,67574,
1783:302,58,55741,55155,55101,5299,52600,518,496,495,
1787:616,62,225,182,726,32,101,1410,10610,3101,
1788:8667,6227,12706,500,3374,22597,2241,2379,11804,2204,
1794:508,76,1102,8,84,15,1403,616,3313,1578,
1796:654,84,8,224,29,650,1102,182,861,837,
1803:17,302,654,76,616,58,8,866,84,29,
1820:23191,80161,2880,7457,5624,26254,47889,118116,13392,14685,
1821:47333,3468,27278,6923,650,61949,5996,568,47720,33489,
1822:224,1239,20409,2369,187,3215,2311,167,3205,698,
1823:84,17,542,354,6,301,554,787,803,2538,
1840:354,736,866,650,301,861,8946,1937,616,94,
1841:3211,18895,3709,9295,1528,9783,9491,13534,21371,13194,
1842:1089,14314,24944,58,17,302,654,76,616,58,
1850:3482,361,44448,4563,495,54048,54202,62,66743,70,
1853:167,7546,54105,13791,15350,1581,650,16804,16923,6033,
1854:654,999,542,17,861,302,564,364,285,642,
1862:302,1102,736,616,650,301,138,1119,1196,564,
1880:875,17,4420,736,19904,2085,21228,57527,10256,1594,
1883:654,1102,76,354,302,58,101,94,2733,8,
1890:103178,1069,353,84985,14687,19540,23764,32978,3731,17,
1891:17,302,654,76,616,58,8,866,84,29,
1893:61,656,3313,364,58,1086,486,356,162,114,
1894:138,1119,826,698,654,2109,39408,13751,3137,7956,
1911:29727,9127,17271,22420,4016,741,13581,53100,13392,5671,
1912:17,302,654,76,616,58,8,866,84,29,
1913:5662,66665,100800,2624,31112,8,25759,322,33487,56189,
1930:7160,6754,105511,1205,13995,16271,698,59716,5627,298,
1932:5097,565,17,302,654,76,616,58,8,866,
1950:301,2162,361,947,65,224,1119,1239,861,358,
1951:1360,98617,59310,87557,122274,2121,56527,22292,6469,6463,
1952:17,239,162,76,5575,2687,1102,84,636,675,
2005:542,302,354,1102,554,518,301,239,6,190,
2017:101380,107733,11246,123006,13894,23213,44039,47586,58208,17,
2025:5415,10075,17,236,29,17064,10007,33660,3485,32452,
2030:22689,3423,262,5663,57229,81276,13785,12219,32815,9790,
2034:6186,22904,9914,57937,26838,58219,43115,104789,106783,24432,
2038:12222,45,9929,101235,1267,17,43814,96695,98469,17,
2046:27296,10492,13889,11199,91537,38488,9101,111815,93654,75233,
2058:12597,17944,121818,48197,43327,88234,17,302,654,76,
2068:4257,245,787,2715,1370,4292,1405,8398,194,402,
2070:13580,84,2076,4919,245,54155,303,675,3233,510,
2071:70,1196,238,4904,1535,285,518,94,58,3101,
2072:2162,70,875,568,6352,182,654,1119,1756,873,
2074:4444,11468,1410,7926,13998,10180,5975,4671,106,14230,
2075:3839,2302,15,542,1140,59506,4259,302,45839,62404,
2076:17,302,654,76,616,58,8,866,84,29,
2077:17,654,89048,138,29,947,1462,1102,13392,301,
2080:675,17,2618,591,3795,6,322,6836,2024,58,
2085:3505,16625,11720,518,1276,24958,31517,89092,8,1790,
2097:364,33916,39492,1086,84,4456,12133,4269,19234,1839,
2112:226,29720,17,302,654,76,616,58,8,866,
2115:17,718,88329,18463,28368,1696,500,15770,1539,6793,
2116:1187,17,1195,113847,285,616,40134,45171,654,32424,
2123:48,4420,17,899,654,361,138,947,1102,94,
2135:3423,6733,1501,5767,780,79589,17,302,654,76,
2141:31978,65080,81,698,3423,7680,710,3105,780,245,
2147:12673,6059,17030,728,109031,42335,12462,35619,23833,10987,
2154:5480,72,661,801,22385,719,1326,2642,1867,5023,
2160:17,73,1804,4174,3160,31019,32199,13458,554,12440,
2162:7118,661,83245,58298,109940,9265,463,10267,1124,8733,
2170:17,84,58,787,29,1102,901,859,5575,542,
2177:49803,46155,59341,3329,2021,8973,5403,6392,2596,84388,
2184:32619,16996,14965,2541,57056,78689,1348,13863,6,568,
2185:17,302,654,76,616,58,8,866,84,29,
2187:17,302,654,76,616,58,8,866,84,29,
2211:101523,82813,62500,44173,465,5111,96090,47456,17380,38848,
2223:17,302,654,76,616,58,8,866,84,29,
2243:371,4194,4268,431,4364,472,4755,48,5117,5122,
2244:616,17,6,101,4374,162,654,61,2618,430,
2247:11447,12575,3249,40390,20628,27293,3657,24968,75427,11209,
2250:49715,71709,22792,7838,4103,2155,22159,2259,19337,17035,
2253:2204,986,16680,6108,4194,3756,3498,229,57259,58498,
2260:17,302,654,76,616,58,8,866,84,29,
2261:354,899,48,654,1102,65,1187,616,76,16097,
2262:17,302,654,76,616,58,8,866,84,29,
2290:285,518,29,726,2618,301,6,236,1550,363,
2291:17,616,29,542,363,162,84,568,4813,7802,
2293:5010,4613,939,84,19925,36227,8213,32906,2251,45359,
2301:4032,17,429,3619,83587,108161,42004,85441,82540,110025,
2302:16229,17,302,654,76,616,58,8,866,84,
2304:226,2292,7422,17,302,654,76,616,58,8,
2318:902,654,84,1102,866,1762,101,1046,564,3101,
2325:111075,13261,1606,73296,14765,1539,899,1152,1187,27941,
2335:17,616,81,301,736,102405,34571,58254,83691,6446,
2343:17,302,15299,26302,50020,26523,6002,67459,53364,10180,
2346:17,302,654,76,616,58,8,866,84,29,
2347:2186,78503,109758,100785,7728,90201,24792,14754,100001,64260,
2348:2677,500,905,1419,68278,53381,19950,33214,87889,1888,
2362:17,302,654,76,616,58,8,866,84,29,
2363:17,302,322,21144,650,560,4502,9837,363,301,
2364:1804,73,1578,1866,1920,2121,354,6765,100764,302,
2369:17,302,654,76,616,58,8,866,84,29,
2373:17,35653,1437,301,616,736,117172,19089,17,302,
2381:1220,4483,44939,93067,17,302,654,76,616,58,
2382:83431,111222,12776,13147,70955,111075,13261,518,14765,73296,
2384:17,4420,736,70,19904,10256,1594,4299,82046,674,
2385:17,302,654,76,616,58,8,866,84,29,
2392:17,302,654,76,616,58,8,866,84,29,
2393:947,787,94,32747,182,57926,96342,118593,8767,58601,
2394:76,696,654,394,361,302,289,1102,25585,4837,
2395:224,1140,837,17,564,616,273,345,1476,138,
2399:40,698,17,866,69320,7021,6503,62962,15598,26312,
2405:1196,787,409,364,650,76,1614,542,17,356,
2407:17,302,654,76,616,58,8,866,84,29,
2408:17,302,654,76,616,58,8,866,84,29,
2419:94097,44167,398,36009,2447,17224,13874,11132,105420,840,
2429:60104,106448,361,30913,354,4268,112262,41383,115143,40846,
2447:29,354,6,17146,966,70,73635,273,28862,17,
2452:12832,2282,10127,24481,95533,8349,77590,698,6387,48061,
2453:23740,71417,29657,263,27858,2908,302,3028,3911,4249,
2454:6434,3107,24581,8225,19596,5624,23191,1527,1352,2880,
2456:17,17839,698,16604,32085,5182,76,58,17,302,
2461:736,554,101,518,61,301,162,542,245,422,
2464:354,654,1462,736,48,1187,94,80447,61846,30094,
2465:58,866,84,8,4996,899,301,407,408,4174,
2469:302,1102,2618,40,17,302,654,76,616,58,
2489:13813,168,28948,17,302,654,76,616,58,8,
2491:2319,17,302,654,76,616,58,8,866,84,
2499:1097,7083,13523,73474,103105,92989,302,27738,76,17,
2500:84,17,302,654,76,616,58,8,866,84,
2501:947,931,46762,54103,93856,81132,6674,6108,678,73527,
2505:17,289,5991,58,1276,542,1937,616,76,1089,
2510:3307,5567,6311,72788,78362,30139,40898,17,302,654,
2515:37186,12361,17,302,654,76,616,58,8,866,
2518:5097,3568,890,565,1164,21696,4880,698,76,8199,
2520:17,302,301,76,354,650,616,5998,564,542,
2521:1462,1535,113837,353,394,422,59211,6457,17,302,
2524:17,302,654,76,616,58,8,866,84,29,
2536:302,364,1196,1511,554,1086,1140,11459,356,114,
2541:654,84,302,94,902,354,518,58,76,1709,
2547:17,67346,15975,23503,27535,361,1494,654,1324,1384,
2553:9134,37961,31397,50469,36848,44578,31598,31025,19507,16881,
2558:661,5557,3211,2155,14501,10267,3601,7180,72,28352,
2560:354,33728,353,356,4204,47820,493,51823,559,560,
2563:15,1511,1332,238,698,564,409,633,302,58,
2573:354,58,4046,30788,59691,49127,28862,273,138,1102,
2591:17,302,654,76,616,58,8,866,84,29,
2596:9906,91495,749,7477,578,57190,5597,5343,46855,44632,
2597:17,302,654,76,616,58,8,866,84,29,
2601:7334,32661,36266,7088,1077,83175,283,302,357,37249,
2604:8167,26342,77570,70,582,57239,51505,49890,42122,85297,
2611:899,108412,52986,14108,57718,1119,1187,29026,78766,787,
2612:2953,542,15,17,486,302,999,642,1509,554,
2615:29,650,6,966,73635,70,866,709,61411,6096,
2625:17,302,654,76,616,58,8,866,84,29,
2626:302,354,616,84,1099,1136,1196,866,395,3546,
2634:42194,77334,8213,18477,25082,69473,409,72608,25811,2526,
2636:654,16869,17,302,654,76,616,58,8,866,
2639:35688,26621,89595,115669,72710,7182,50744,41626,97251,81729,
2650:97607,90235,33609,103650,6337,56125,75058,44959,4308,37242,
2661:8020,239,1471,3741,93018,80046,33790,3329,80081,30521,
2663:59567,17,302,654,76,616,58,8,866,84,
2666:17,8695,17,302,654,76,616,58,8,866,
2676:12821,3244,654,1567,1168,10279,24698,176,162,289,
2689:121358,2644,36176,76,17,302,654,76,616,58,
2693:790,118736,3419,13476,27905,70055,106857,87170,12731,80951,
2708:12776,8,17,736,564,119,24047,11952,111075,13261,
2709:4268,131,1165,94,2955,245,9572,5699,15066,427,
2713:774,398,675,17,302,654,76,616,58,8,
2715:984,9874,801,10267,3412,135,34134,1147,72,1400,
2716:16542,56430,76547,500,13400,1460,99299,3137,5381,550,
2727:29,301,58,899,12665,2618,68428,17,302,654,
2730:875,354,1023,119,17,2583,6103,6450,2162,4187,
2731:616,29,1444,226,2831,354,76,962,17146,866,
2734:564,76,4017,1069,2414,736,236,40,10749,20090,
2735:8848,1712,26749,4825,44242,16174,4966,49775,3328,1527,
2737:107139,45992,17,302,654,76,616,58,8,866,
2745:17,17,302,654,76,616,58,8,866,84,
2746:35685,32863,27209,24118,38773,22338,20922,16151,13987,7687,
2748:5287,42057,7320,5117,32274,1003,113729,43178,32514,327,
2756:21561,616,115645,116615,39732,519,650,6810,17,302,
2760:138,29,84,6,650,114518,78574,28473,394,1462,
2776:17,302,654,76,616,58,8,866,84,29,
2799:17,302,654,76,616,58,8,866,84,29,
2802:32162,20791,64672,20296,110317,11436,105544,34914,36693,27163,
2803:11718,2074,2595,88529,14237,19829,33572,347,670,94755,
2804:17,302,654,76,616,58,8,866,84,29,
2805:3014,58,3191,23495,4707,79592,873,58156,65176,20237,
2812:354,650,285,8,289,94,654,301,29,11154,
2815:8252,66755,463,984,85234,44088,3438,30976,27295,12136,
2827:8964,17390,7059,2428,13510,62155,64982,132,67110,19691,
2831:19322,490,645,58,84,917,1023,14237,1462,182,
2846:84,616,285,2073,1444,114,1119,101,301,104202,
2848:29,616,486,518,2030,17,2429,861,11459,273,
2853:18850,5738,83814,68624,86461,698,5550,38736,34823,3081,
2854:35144,70,14370,2950,3235,32620,50668,6397,6945,908,
2857:107521,112946,17,302,654,76,616,58,8,866,
2858:17,84,736,101,76,28614,31036,36480,40244,42302,
2861:76253,73679,68246,68210,5975,58924,80073,83372,4478,4049,
2871:17,302,654,76,616,58,8,866,84,29,
2907:302,13513,273,361,363,115235,70,84,17,302,
2912:76,26821,96699,17,302,654,76,616,58,8,
2914:302,542,58,654,892,837,510,239,8,101,
2924:17,302,654,76,616,58,8,866,84,29,
2925:12165,15337,7851,7014,106900,10999,57293,79576,35828,41508,
2947:2741,8643,46125,24301,18970,66993,66050,577,5875,116261,
2951:99399,2745,1184,285,3,51550,11919,7803,12712,17,
2959:10470,11671,48725,17,302,654,76,616,58,8,
2960:8579,8151,696,4268,891,490,4187,35425,2956,2955,
2963:17,302,654,76,616,58,8,866,84,29,
2965:106585,39796,46210,57034,57868,17317,29174,698,86872,92012,
2967:5150,4991,8875,6992,5122,72413,21440,25790,26597,2675,
2970:9879,7241,696,68239,6790,616,48851,46421,25764,2512,
2977:57638,4600,96196,8227,7163,4334,3039,301,113470,11623,
2981:650,29,4171,394,36768,429,361,35752,330,301,
2989:48,518,8,17,302,654,76,616,58,8,
2990:22420,13581,29000,17,302,654,76,616,58,8,
3002:17,302,654,76,616,58,8,866,84,29,
3004:4672,68014,168,34589,17,302,654,76,616,58,
3011:82143,17,302,654,76,616,58,8,866,84,
3013:7457,26704,33872,17,14398,15718,84342,23930,9439,86372,
3037:17,302,654,76,616,58,8,866,84,29,
3038:247,50306,7397,6503,16016,16258,17567,37869,7021,69606,
3044:1709,29,40653,7132,873,17,302,654,76,616,
3070:993,14566,8783,17,302,654,76,616,58,8,
3081:17,302,654,76,616,58,8,866,84,29,
3100:736,302,692,29,3223,123322,1804,2668,73,518,
3102:11526,1205,135,14754,3922,97086,5488,760,13331,28357,
3105:654,71362,17,302,654,76,616,58,8,866,
3107:76,7228,8667,1023,2379,348,4021,89600,62843,3522,
3110:4021,16763,88953,88834,65834,49966,40850,14181,13039,12042,
3111:17,302,654,76,616,58,8,866,84,29,
3113:13832,23989,61478,24599,2602,398,48725,17,302,654,
3121:8,70,361,899,1462,327,16895,48479,1119,1196,
3125:17,302,654,76,616,58,8,866,84,29,
3126:17,302,654,76,616,58,8,866,84,29,
3129:616,302,1140,6837,518,3101,3736,866,2687,701,
3139:17,302,654,76,616,58,8,866,84,29,
3144:10380,1528,5738,17,302,654,76,616,58,8,
3152:17,302,654,76,616,58,8,866,84,29,
3166:17,302,654,76,616,58,8,866,84,29,
